country	country_code	ETS information	main activity sector name	unit	value	year
Croatia	HR	4.1 Surrendered EU allowances (EUAs and EUAAs)	29 Production of cement clinker	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Croatia	HR	4.2 Surrendered certified emission reductions (CERs)	31 Manufacture of glass	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Hungary	HU	2. Verified emissions	20 Combustion of fuels	tonne of CO2 equ.	62834755	Total 1st trading period (05-07)
Hungary	HU	4.2 Surrendered certified emission reductions (CERs)	20 Combustion of fuels	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Greece	GR	4.1 Surrendered EU allowances (EUAs and EUAAs)	41 Production of ammonia	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Greece	GR	4.3 Surrendered emission reduction units (ERUs)	41 Production of ammonia	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Greece	GR	4.1 Surrendered EU allowances (EUAs and EUAAs)	99 Other activity opted-in under Art. 24	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Croatia	HR	4.1 Surrendered EU allowances (EUAs and EUAAs)	20 Combustion of fuels	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Croatia	HR	4.3 Surrendered emission reduction units (ERUs)	20 Combustion of fuels	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Croatia	HR	4.2 Surrendered certified emission reductions (CERs)	29 Production of cement clinker	tonne of CO2 equ.	0	Total 1st trading period (05-07)
